"MLE","NBE","MCMC"
0.0269358423239795,0.0242102164775133,0.0362454678756919
0.000481042798491369,9.92996494492832e-12,0.00177415175402275
0.0301128536904367,0.0202055191621184,0.0400245547856911
0.0190297071824373,0.0145834740251303,0.0261804196422761
0.00464002902163658,0.000249579068622552,0.00910032027696049
0.0465012505675969,0.0480984337627888,0.0564071852978171
0.00156413466260024,3.5264372399979e-07,0.0040285571316635
0.00542854610408618,0.000332873198203743,0.00905652695855842
1.156212566849,1.09985488653183,0.962625503253143
0.00362011736439298,0.000130977809021715,0.00723253350016185
1.208315859223,1.17002749443054,1.0067886036251
2.11788845220545,1.84465634822845,1.60378718431652
0.977998904982044,0.902318894863129,0.839551788233109
0.0154036921668834,0.00863144313916564,0.0217894070716911
1.45734485194891,1.42655396461487,1.17842380322723
2.88395198492826,2.19901299476624,2.09073685933402
0.624686819445998,0.51535439491272,0.565159209835009
0.023829833937045,0.0185661483556032,0.0311517970260967
0.00482577198127699,0.000358174977009185,0.00865934066648374
6.36757306300969e-05,1.47056417300713e-31,0.000472488341945708
0.0576473203653785,0.0499863661825657,0.0685733671066444
0.00291968228850297,4.52970116384677e-05,0.00579591453873678
0.000549090901335521,3.49063752078452e-12,0.00188918434517253
0.699693207039654,0.598703235387802,0.623455600866795
0.0147321806681104,0.00297422963194549,0.0223710666861848
0.0307974743788786,0.0231316378340125,0.0417990342773062
0.0144964971818807,0.0128064549062401,0.0221993350063626
0.000117539932107862,1.76556366204895e-23,0.000685393001096995
0.0278793683862782,0.0232594572007656,0.0374734756665202
0.0103140496080144,0.00415947975125164,0.015752886280467
0.00112241608527637,3.53660363217045e-08,0.00302019610452751
0.0149340874531039,0.0115287699736655,0.021229455896568
1.07034500287406,0.997682154178619,0.889441126372048
0.0132570752747037,0.00584013573825359,0.0200734753703272
0.0118505015975746,0.00961415399797261,0.0177126154807649
0.0254921524688311,0.0197380911558867,0.0339824036780319
0.00598373782930838,0.000847976392833516,0.010464120309049
0.0168505489264339,0.0144021748565137,0.024103196096647
0.0167575282726794,0.0158426030538976,0.0233237865688249
1.50384200944441e-05,0,0.000200172146694246
0.41629806274348,0.344146445393562,0.395202072567708
0.844460314023139,0.752059757709503,0.735614234557935
0.0300915597136648,0.0240307580679655,0.0371610561272306
1.55236519346486,1.52410715818405,1.23536272719051
2.00815651435661,1.8164958357811,1.53150353688182
0.00526124105370694,0.000437537732068449,0.00980798290339354
1.22281537957796,1.1523585319519,1.00816439080072
0.0200325453833649,0.0173789644613862,0.0284840713037655
0.0114174322158158,0.00463448232039809,0.0177635280700274
0.00835803998274775,0.00368887896183878,0.013686690290489
0.0202538193150389,0.0197151894681156,0.0282550693567281
0.00822096358437362,0.00145825871732086,0.0127118021861803
0.00466493636681305,0.000204087496967986,0.0088350323202851
1.24081100780764,1.20506101846695,1.02438031917142
0.306109885307651,0.254745483398438,0.298247977849138
0.0360209745369983,0.0308278556913137,0.0450266627223392
0.119963748830832,0.0998775660991669,0.129564970020961
0.00223827065634215,3.34042022132053e-06,0.00498860247679811
1.34412316451583,1.31668210029602,1.09766224696509
0.0100101112379952,0.00587153015658259,0.0151309416897253
0.0234148037489428,0.0152228469960392,0.0315272172342892
1.80707382575177e-05,0,0.000234369464768163
0.0157606616314895,0.00911442702636123,0.0228378844714637
1.40466691989753,1.36960542201996,1.13356217657148
0.00736768221792898,0.00210006482666358,0.0116231960705163
8.54273101044054e-09,0,3.834316292228e-06
0.00313049798810546,3.7344479096646e-05,0.00631718282699539
0.0037517409925224,4.26298283855431e-05,0.00756897178841845
0.00430541283142345,0.000402470512199216,0.00802023930141759
0.0220835778977608,0.0100618340075016,0.0297576157176596
1.82571360488252,1.69307255744934,1.41731774294387
0.00678459736354426,0.00300767604494467,0.0113115342912266
0.0257004963307979,0.0118465423583984,0.0355251485987018
0.0330950719441166,0.026024323888123,0.0418196779746597
0.0147041888575752,0.00981415901333094,0.0209974735650855
0.000327380351139089,3.10756287196973e-14,0.00138833061804832
0.652983923586079,0.55944299697876,0.595223880085828
0.0298148628280625,0.011742427945137,0.0395841762871595
0.0346794833417232,0.0198391713202,0.0435836623130318
0.00788977270226677,0.0038140321848914,0.0124477249812798
0.00489523977282261,0.000435424342867918,0.00909321102746889
0.236194422597409,0.202158972620964,0.237212468750197
0.00217615674084587,4.54476048616925e-06,0.00506035005586069
0.993158709975767,0.922949343919754,0.841241484494704
0.628593651829227,0.527408167719841,0.569988012155748
0.0135708403225175,0.0090659714769572,0.0199773951849283
1.66447802480038,1.58050143718719,1.31313539612484
0.634044072055366,0.533352553844452,0.57510217763157
1.83253993111967,1.73934578895569,1.42427663288736
2.81679147328555e-05,0,0.000269417790681
0.567093029634119,0.473705187439919,0.524159806815037
4.32019961868054e-06,0,0.000109490999661705
0.035603746038958,0.0310049671679735,0.0457331128342831
1.36115677837795,1.32852804660797,1.11668136847046
0.0156973559906638,0.00506222620606422,0.0219940450013726
0.00741774802416386,0.00106406700797379,0.01234523663389
0.000488516078926212,4.24136642690823e-12,0.0017638029048381
0.00482197114919916,5.371508996177e-05,0.0088655525293127
0.0132454176133422,0.00897822272963822,0.0196771732841422
0.01994494055132,0.0164515660144389,0.0270100167684555
0.0120224203787915,0.00937673263251781,0.0176576864485347
1.15832761998021,1.11398929357529,0.970593727611806
0.0123744537402835,0.00656554591841996,0.0188222857866818
1.30524159858374e-07,0,1.55005580586482e-05
0.000110066305992535,1.09349943246546e-24,0.000663041214391267
0.014561290089393,0.0059798345901072,0.0216699787779436
1.46122613349916,1.42331665754318,1.17777953526215
0.008310778117509,0.00165852077770978,0.0133233111915107
2.6780065103457,2.07731783390045,1.94228780423919
1.20503540207822,1.16363435983658,1.00707324237703
0.000325353946867364,4.35441475679464e-14,0.00141398991630365
0.610455008650459,0.528595805168152,0.551797445776292
0.0138459399651618,0.00589622603729367,0.0193438061314956
0.00033658198192904,1.61396812967563e-14,0.00137498354328984
6.01235284872227e-05,3.10324186370955e-33,0.000436642752058564
1.75493483962534e-07,0,1.92154546267354e-05
0.0257407975847048,0.0117596494965255,0.0328434582522176
0.0238714344389305,0.0190284783020616,0.0301546856518986
0.000712436519964149,1.46426828995239e-09,0.00222554346092111
1.90653359646786,1.80579078197479,1.4849237860158
0.00155369656632062,3.08706397333935e-07,0.003927009320189
0.097875644798163,0.0833660662174225,0.110068789049578
0.0330654582709303,0.0315119847655296,0.0425332681622592
0.0180399775302557,0.00279677065555006,0.0256314141562728
0.0054755978116595,8.08084041636903e-05,0.00986383970605713
0.00870635681655388,0.00151955999899656,0.0143824851925579
1.76792919328297,1.6605349779129,1.38801902428716
0.00354653463301243,0.000238180698943324,0.00707867915470148
1.1949930947474,1.12802714109421,0.98918083078736
0.0139987657769387,0.00389084219932556,0.0201966850694478
0.00117687883345166,5.88051465300055e-08,0.00321496392403381
2.48560350473273,2.0636430978775,1.83440086200543
0.455829296343636,0.369888231158257,0.424615889198382
0.0124890317219274,0.00540710822679102,0.0185029118610946
0.0706347685783443,0.0608472973108292,0.0823046268816669
0.369950283049945,0.306764498353004,0.35460293836995
0.430897935420269,0.358682662248611,0.414682891812487
0.0169212199031738,0.0059059401974082,0.0242309253548286
0.728662830036721,0.632516503334045,0.642977352664794
0.00783423860176895,0.00262157537508756,0.0119666376165898
0.0173813731976257,0.0119524002075195,0.0240277430113751
1.09143255759855,1.02929845452309,0.915794363286508
0.00127672643748033,1.77201407325356e-07,0.00330468798121465
